,Date Time,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
0,2021-09-20-15-30-00,-200,-200,-200,-200,-200,-200
1,2021-09-20-15-30-00,-200,-200,-200,-200,-200,-200
2,2021-09-20-15-30-00,-200,-200,-200,-200,-200,-200
3,2021-09-20-15-30-00,-200,-200,-200,-200,-200,-200
4,2021-09-20-15-30-00,-200,-200,-200,-200,-200,-200
5,2021-09-20-15-30-01,-200,-200,-200,-200,-200,-200
6,2021-09-20-15-30-01,-200,-200,-200,-200,-200,-200
7,2021-09-20-15-30-01,-200,-200,-200,-200,-200,-200
8,2021-09-20-15-30-01,-200,-200,-200,-200,-200,-200
9,2021-09-20-15-30-01,-200,-200,-200,-200,-200,-200
10,2021-09-20-15-30-01,-200,-200,-200,-200,-200,-200
11,2021-09-20-15-30-01,-200,-200,-200,-200,-200,-200
12,2021-09-20-15-30-01,-200,-200,-200,-200,-200,-200
13,2021-09-20-15-30-01,-200,-200,-200,-200,-200,-200
14,2021-09-20-15-30-01,-200,-200,-200,-200,-200,-200
15,2021-09-20-15-30-02,-200,-200,-200,-200,-200,-200
16,2021-09-20-15-30-02,-200,-200,-200,-200,-200,-200
17,2021-09-20-15-30-02,-200,-200,-200,-200,-200,-200
18,2021-09-20-15-30-02,-200,-200,-200,-200,-200,-200
19,2021-09-20-15-30-02,-200,-200,-200,-200,-200,-200
20,2021-09-20-15-30-02,-200,-200,-200,-200,-200,-200
21,2021-09-20-15-30-02,-200,-200,-200,-200,-200,-200
22,2021-09-20-15-30-02,-200,-200,-200,-200,-200,-200
23,2021-09-20-15-30-02,-200,-200,-200,-200,-200,-200
24,2021-09-20-15-30-02,-200,-200,-200,-200,-200,-200
25,2021-09-20-15-30-02,-200,-200,-200,-200,-200,-200
26,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
27,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
28,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
29,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
30,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
31,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
32,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
33,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
34,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
35,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
36,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
37,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
38,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
39,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
40,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
41,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
42,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
43,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
44,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
45,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
46,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
47,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
48,2021-09-20-15-30-03,-200,-200,-200,-200,-200,-200
49,2021-09-20-15-30-04,-200,-200,-200,-200,-200,-200
50,2021-09-20-15-30-04,-200,-200,-200,-200,-200,-200
51,2021-09-20-15-30-04,-200,-200,-200,-200,-200,-200
52,2021-09-20-15-30-04,-200,-200,-200,-200,-200,-200
53,2021-09-20-15-30-04,-200,-200,-200,-200,-200,-200
54,2021-09-20-15-30-04,-200,-200,-200,-200,-200,-200
55,2021-09-20-15-30-04,-200,-200,-200,-200,-200,-200
56,2021-09-20-15-30-04,-200,-200,-200,-200,-200,-200
57,2021-09-20-15-30-04,-200,-200,-200,-200,-200,-200
58,2021-09-20-15-30-04,-200,-200,-200,-200,-200,-200
59,2021-09-20-15-30-04,-200,-200,-200,-200,-200,-200
